city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
2122574,Ola,RU,59.58,151.28,10/05/20,            38.44,77,0,9.91
3449502,Santo Antônio do Leverger,BR,-15.87,-56.08,10/05/20,            107.6,18,53,6.93
986717,Kruisfontein,ZA,-34,24.73,10/05/20,            60.01,92,0,3
4013726,Anáhuac,MX,27.23,-100.15,10/05/20,            86,35,5,8.9
3839307,Rawson,AR,-43.3,-65.1,10/05/20,            69.94,22,5,14.94
1259385,Port Blair,IN,11.67,92.75,10/05/20,            80.71,85,46,7.7
1279005,Alīpur,IN,28.8,77.15,10/05/20,            81.48,50,0,4
3572627,Cockburn Town,BS,24.03,-74.52,10/05/20,            83.5,76,47,17.45
3372783,Ponta Delgada,PT,37.73,-25.67,10/05/20,            69.8,73,40,5.82
649630,Kirkkonummi,FI,60.12,24.44,10/05/20,            53.01,96,1,9.04
1257277,Sarāhan,IN,31.52,77.8,10/05/20,            53.74,41,0,3.74
2220853,Yokadouma,CM,3.52,15.05,10/05/20,            73.17,85,88,0.98
1489656,Teya,RU,60.38,92.63,10/05/20,            29.82,93,100,11.16
352628,Maţāy,EG,28.42,30.78,10/05/20,            78.4,30,0,8.5
2180815,Tuatapere,NZ,-46.13,167.68,10/05/20,            48.99,73,85,17
1268399,Kālīnagar,IN,28.62,80.1,10/05/20,            73.44,68,0,2.71
5882953,Aklavik,CA,68.22,-135.01,10/05/20,            37.4,86,90,11.41
5367788,Lompoc,US,34.64,-120.46,10/05/20,            68.54,56,1,4.7
6014443,Lac du Bonnet,CA,50.25,-96.06,10/05/20,            61.52,99,100,5.99
3533462,Acapulco de Juárez,MX,16.86,-99.89,10/05/20,            86,74,75,9.17
2077895,Alice Springs,AU,-23.7,133.88,10/05/20,            50,100,90,9.17
2128975,Nemuro,JP,43.32,145.57,10/05/20,            57.72,71,24,25.97
3981391,Tomatlán,MX,19.93,-105.25,10/05/20,            93.02,39,0,3.85
6149996,Smithers,CA,54.78,-127.17,10/05/20,            51.8,87,75,3.36
1636022,Martapura,ID,-3.42,114.85,10/05/20,            76.42,88,75,1.61
4685892,Denison,US,33.76,-96.54,10/05/20,            70.97,49,5,9.17
2173911,Broken Hill,AU,-31.95,141.43,10/05/20,            55.4,58,100,14.99
2447416,Ayorou,NE,14.73,0.92,10/05/20,            98.13,22,21,3.83
4021858,Guerrero Negro,MX,27.98,-114.06,10/05/20,            96.13,18,93,9.08
3354071,Oranjemund,NA,-28.55,16.43,10/05/20,            59.32,82,0,9.37
64435,Berbera,SO,10.44,45.01,10/05/20,            88.65,51,0,3.74
4036284,Alofi,NU,-19.06,-169.92,10/05/20,            75.2,88,75,12.75
3146487,Raudeberg,NO,61.99,5.14,10/05/20,            53.01,90,15,9.15
1539210,Purpe,RU,64.48,76.69,10/05/20,            32,93,100,11.21
475955,Velizh,RU,55.61,31.2,10/05/20,            57.45,51,100,10.87
162099,Abadan,TM,38.05,58.21,10/05/20,            57.2,71,90,6.93
3832899,Viedma,AR,-40.81,-63,10/05/20,            70,33,0,11.99
2126710,Beringovskiy,RU,63.05,179.32,10/05/20,            34.21,83,2,7.18
2236967,Soyo,AO,-6.13,12.37,10/05/20,            76.78,81,86,7.45
3515956,Tenosique,MX,17.48,-91.43,10/05/20,            82.4,74,75,11.41
3991347,Puerto Peñasco,MX,31.32,-113.53,10/05/20,            94.84,23,100,9.1
3936456,Lima,PE,-12.04,-77.03,10/05/20,            66.09,68,40,11.41
3379507,Bartica,GY,6.4,-58.62,10/05/20,            91.4,59,40,9.17
2098329,Daru,PG,-9.08,143.21,10/05/20,            77.34,84,100,14.63
551145,Kem',RU,64.96,34.58,10/05/20,            47.98,95,100,5.95
3421193,Paamiut,GL,61.99,-49.67,10/05/20,            30.83,84,100,6.62
1214488,Meulaboh,ID,4.14,96.13,10/05/20,            77.49,87,100,5.61
2145554,Ulladulla,AU,-35.35,150.47,10/05/20,            54.73,93,90,9.17
6230919,Whangarei,NZ,-35.73,174.32,10/05/20,            54,95,100,4
3697838,Contamana,PE,-7.33,-75.02,10/05/20,            98.2,30,22,4.54
2015913,Suntar,RU,62.14,117.63,10/05/20,            40.66,84,100,8.72
2028028,Aksha,RU,50.28,113.29,10/05/20,            28.45,89,0,1.74
2088143,Porgera,PG,-5.47,143.2,10/05/20,            37.96,100,76,1.12
6144312,Sept-Îles,CA,50.2,-66.38,10/05/20,            42.48,93,75,4.7
1516048,Khovd,MN,48.01,91.64,10/05/20,            40.01,65,0,7.67
6167817,Torbay,CA,47.67,-52.73,10/05/20,            48.63,76,90,10.29
364933,Umm Kaddadah,SD,13.6,26.69,10/05/20,            93.15,24,0,1.39
707220,Kalcheva,UA,45.74,28.81,10/05/20,            65.91,79,100,14.61
1855540,Naze,JP,28.37,129.48,10/05/20,            77,73,20,16.11
1622318,Waingapu,ID,-9.66,120.26,10/05/20,            75.65,78,42,5.68
3156868,Folldal,NO,62.13,10,10/05/20,            42.33,78,31,5.66
